Posisi,Perusahaan,Lokasi,Gaji,Waktu
Freelance Konsultan Statistika,Brain Project,Yogyakarta,Gaji tidak disebutkan,8 jam yang lalu
Data Management,2details sunter,Jakarta Utara,Gaji tidak disebutkan,12 jam yang lalu
Operations Analyst,Xtramile Solutions Pty Ltd,Jakarta Raya,Gaji tidak disebutkan,14 jam yang lalu
IT Business Analyst,PT. Entrepreneur Trust Digital,Jakarta Pusat,Rp 8.000.000 – Rp 10.500.000 per month,1 hari yang lalu
Data Engineer/ETL,PT. Entrepreneur Trust Digital,Jakarta Pusat,Rp 8.000.000 – Rp 10.000.000 per month,1 hari yang lalu
AI Visual Specialist,PT. LAXMI UTAMA,Jakarta Pusat,Rp 5.000.000 – Rp 7.000.000 per month,1 hari yang lalu
Data Scientist,Macquarie Group,Indonesia,Gaji tidak disebutkan,1 hari yang lalu
Claim Reporting Executive,Halodoc,Kebayoran Lama,Gaji tidak disebutkan,1 hari yang lalu
RC Data Analyst Trainee,PT. SASANA CIPTA MULIA,Kalimantan Barat,Gaji tidak disebutkan,1 hari yang lalu
data processing surveyor,PT Tigenco Graha Persada,Jakarta Timur,Gaji tidak disebutkan,1 hari yang lalu
IT Data Privacy & Information Security Officer,PT CIMB Niaga Auto Finance,Tangerang Selatan,Gaji tidak disebutkan,1 hari yang lalu
Data Engineer,PT. Berca Hardayaperkasa,Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Data Engineer/ETL,PT Lawencon Internasional,Kebayoran Lama,Gaji tidak disebutkan,1 hari yang lalu
Project Manager,TLab,Yogyakarta,Gaji tidak disebutkan,1 hari yang lalu
Geospatial Datascience Officer,"PT SMART,Tbk",Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Data Analyst,PT Higo Fitur Indonesia,Jakarta Barat,Rp 5.700.000 – Rp 7.000.000 per month,1 hari yang lalu
AI Innovation Specialist,PT Menjangan Sakti,Jakarta Timur,Gaji tidak disebutkan,1 hari yang lalu
Project Coordinator,Central Data Technology,Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Data Modeler,PT Nityo Infotech,Jakarta Pusat,Rp 20.000.000 – Rp 25.000.000 per month,1 hari yang lalu
Database Engineer (Telco),PT Nityo Infotech,Jakarta Pusat,Rp 20.000.000 – Rp 30.000.000 per month,1 hari yang lalu
Admin Data Analyst,PT Fullmoon Jaya Abadi,Jakarta Utara,Gaji tidak disebutkan,1 hari yang lalu
Facility Data & Analytics Department Head,PT Lippo Malls Indonesia,Jakarta Barat,Gaji tidak disebutkan,1 hari yang lalu
Data Analyst,PT Adibayu Gajah Semakmur,Yogyakarta,Gaji tidak disebutkan,1 hari yang lalu
AI Full Stack Platform Engineer,Jackson Ventures,Jakarta Raya,"Rp 10,000,000 – Rp 15,000,000 per month",1 hari yang lalu
Data (Promo) Analyst Junior Manager,PT Bina Karya Prima,Jakarta Utara,Gaji tidak disebutkan,1 hari yang lalu
Data Architect,PT Lawencon Internasional,Jakarta Selatan,Gaji tidak disebutkan,1 hari yang lalu
Data Engineer (Freelance),PT Data Labs Analytics,Jakarta Pusat,Gaji tidak disebutkan,1 hari yang lalu
Data Analyst,PT Rama Putra Djaya,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Data Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu
Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu
Senior Client Tax Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu
Data Management Staff,PT Rusli Vinilon Sakti,Jakarta Raya,Rp 5.600.000 – Rp 7.000.000 per month,2 hari yang lalu
Data Engineer,PT Rsystems Ibizcs International,Tangerang,Rp 7.500.000 – Rp 11.000.000 per month,2 hari yang lalu
Business Analyst,PT Petra Sejahtera Abadi,Tangerang Selatan,Gaji tidak disebutkan,2 hari yang lalu
PT. Dirgaputra Ekapratama,PT. Dirgaputra Ekapratama,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Suppy Chain Internship (Data Administration),PT Tiara agung Pratama,Bogor,Gaji tidak disebutkan,2 hari yang lalu
E-Commerce Data Analyst (Talent Pool),Future Commerce Indonesia,Jakarta Utara,Rp 8.000.000 – Rp 12.000.000 per month,2 hari yang lalu
Data Engineer,PT Biznet Gio Nusantara,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Data Engineer,Biznet Data,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Operations Support,Plexicus,Sleman,"Rp 6,000,000 – Rp 9,000,000 per month",2 hari yang lalu
